,0
182,(0.6104183793067932-0.3651503920555115j)
183,(0.6159640550613403-0.3590875267982483j)
184,(0.6118919253349304-0.3604563772678375j)
185,(0.617446780204773-0.3620773255825043j)
186,(0.6141811013221741-0.3645637035369873j)
187,(0.6145043969154358-0.3672903776168823j)
188,(0.6148285865783691-0.36265137791633606j)
189,(0.6116300821304321-0.3646446168422699j)
190,(0.6134046912193298-0.36479640007019043j)
191,(0.6129082441329956-0.36579251289367676j)
192,(0.6117552518844604-0.36677053570747375j)
193,(0.6130242347717285-0.36377471685409546j)
194,(0.6122570633888245-0.36889442801475525j)
195,(0.6137924790382385-0.36767157912254333j)
196,(0.6103115081787109-0.36941230297088623j)
197,(0.6107046008110046-0.3685733675956726j)
198,(0.6077243685722351-0.36907875537872314j)
199,(0.6117976903915405-0.3704766035079956j)
200,(0.6099655628204346-0.3707944452762604j)
201,(0.6095398664474487-0.3685552775859833j)
202,(0.6062430143356323-0.3722926080226898j)
203,(0.6077206134796143-0.37463128566741943j)
204,(0.6073467135429382-0.3777777850627899j)
205,(0.607376217842102-0.3755289912223816j)
206,(0.6074608564376831-0.3753001093864441j)
207,(0.6023324131965637-0.3734807074069977j)
208,(0.6049654483795166-0.37557682394981384j)
209,(0.6042258143424988-0.37528517842292786j)
210,(0.6024792194366455-0.37686288356781006j)
211,(0.6076810359954834-0.37637093663215637j)
212,(0.6035844087600708-0.3771277070045471j)
213,(0.6041764616966248-0.37725621461868286j)
214,(0.6006151437759399-0.3834204375743866j)
215,(0.6006057262420654-0.37989771366119385j)
216,(0.6020594239234924-0.37761393189430237j)
217,(0.5961524844169617-0.38043013215065j)
218,(0.5992386341094971-0.38281065225601196j)
219,(0.598450243473053-0.3808119595050812j)
220,(0.593707263469696-0.38357794284820557j)
221,(0.5935416221618652-0.3851870894432068j)
222,(0.5900526642799377-0.3866676390171051j)
223,(0.5920508503913879-0.38855457305908203j)
224,(0.5888291001319885-0.3907451331615448j)
225,(0.5846909880638123-0.3878426253795624j)
226,(0.5868651270866394-0.3920690417289734j)
227,(0.584575355052948-0.39361050724983215j)
228,(0.5802395939826965-0.3967878222465515j)
229,(0.5778695344924927-0.39774635434150696j)
230,(0.573078453540802-0.39778435230255127j)
231,(0.5708578824996948-0.40212592482566833j)
232,(0.5668296217918396-0.4055720865726471j)
233,(0.5604380369186401-0.40841102600097656j)
234,(0.5555095076560974-0.40904495120048523j)
235,(0.5468204617500305-0.4146902859210968j)
236,(0.5436937808990479-0.41336789727211j)
237,(0.5336115956306458-0.4175761938095093j)
238,(0.5285838842391968-0.4206753671169281j)
239,(0.5117396116256714-0.42616701126098633j)
240,(0.49285346269607544-0.4320473074913025j)
241,(0.4727334976196289-0.43443527817726135j)
242,(0.44031670689582825-0.43409833312034607j)
243,(0.38669461011886597-0.42678746581077576j)
244,(0.32707303762435913-0.3878544569015503j)
245,(0.25807827711105347-0.3006976544857025j)
246,(0.2559911906719208-0.1456681787967682j)
247,(0.3651111125946045-0.036689408123493195j)
248,(0.48266342282295227-0.011283081956207752j)
249,(0.5695807337760925-0.043819982558488846j)
250,(0.6174368858337402-0.09348104149103165j)
251,(0.6447057127952576-0.13492102921009064j)
252,(0.6592478156089783-0.17089474201202393j)
253,(0.6585371494293213-0.19990916550159454j)
254,(0.6630431413650513-0.21620452404022217j)
255,(0.6611990928649902-0.2342219203710556j)
256,(0.6622734069824219-0.25026604533195496j)
257,(0.6596943736076355-0.2600240707397461j)
258,(0.6600995063781738-0.2697865962982178j)
259,(0.6583664417266846-0.2751033306121826j)
260,(0.6547415852546692-0.28337621688842773j)
261,(0.6533700227737427-0.2882446348667145j)
262,(0.6530976891517639-0.2936672866344452j)
263,(0.6487175226211548-0.299170583486557j)
264,(0.6472235321998596-0.30257514119148254j)
265,(0.6478441953659058-0.30425938963890076j)
266,(0.6466367244720459-0.30795133113861084j)
267,(0.6451500654220581-0.3095119595527649j)
268,(0.645769476890564-0.3145572245121002j)
269,(0.6425928473472595-0.3155164420604706j)
270,(0.642162024974823-0.3166102468967438j)
271,(0.6398196816444397-0.32155537605285645j)
272,(0.6416305899620056-0.3206726014614105j)
273,(0.6422064900398254-0.3217141926288605j)
274,(0.636268138885498-0.32640716433525085j)
275,(0.6354085206985474-0.329770565032959j)
276,(0.6369768977165222-0.3255494236946106j)
277,(0.63355553150177-0.3251619338989258j)
278,(0.6354631781578064-0.3242748975753784j)
279,(0.6355196833610535-0.3285180330276489j)
280,(0.6355804204940796-0.32968437671661377j)
281,(0.6352459192276001-0.3274223506450653j)
282,(0.6315869688987732-0.33366918563842773j)
283,(0.63140869140625-0.3346465826034546j)
284,(0.6295778751373291-0.3339664340019226j)
285,(0.6270455718040466-0.33358946442604065j)
286,(0.630502462387085-0.33358028531074524j)
287,(0.6292538046836853-0.3386286795139313j)
288,(0.6317479610443115-0.33596736192703247j)
289,(0.6326668858528137-0.3348885774612427j)
290,(0.6277047395706177-0.3367876708507538j)
291,(0.6280080676078796-0.3379290699958801j)
292,(0.6269669532775879-0.33820927143096924j)
293,(0.627853512763977-0.334837943315506j)
294,(0.6261112093925476-0.3354826867580414j)
295,(0.6225558519363403-0.338027685880661j)
296,(0.6229779720306396-0.3387385606765747j)
297,(0.6250361800193787-0.34031057357788086j)
298,(0.6278752684593201-0.3383735120296478j)
299,(0.626768171787262-0.33644503355026245j)
300,(0.6218791604042053-0.3409096300601959j)
301,(0.6247088313102722-0.33780497312545776j)
302,(0.6203225255012512-0.3398788869380951j)
303,(0.621307909488678-0.34177613258361816j)
304,(0.6263648271560669-0.34480711817741394j)
305,(0.6210882067680359-0.34205108880996704j)
306,(0.6222587823867798-0.3438326120376587j)
307,(0.6209322810173035-0.3413465917110443j)
308,(0.6187129616737366-0.3426240086555481j)
309,(0.6206380128860474-0.33771708607673645j)
310,(0.6234725117683411-0.3452785313129425j)
311,(0.6203969717025757-0.34281647205352783j)
312,(0.6214764714241028-0.34630894660949707j)
313,(0.6167340278625488-0.3386049270629883j)
314,(0.6203393936157227-0.34168168902397156j)
315,(0.6205335259437561-0.3400757312774658j)
316,(0.6162114143371582-0.3443482220172882j)
317,(0.6174411773681641-0.3407193124294281j)
318,(0.6168719530105591-0.3449927568435669j)
319,(0.617062509059906-0.3410240113735199j)
320,(0.6188861727714539-0.34285423159599304j)
321,(0.6127107739448547-0.3421039879322052j)
322,(0.6188912391662598-0.3422935903072357j)
323,(0.6134810447692871-0.34589266777038574j)
324,(0.6152331829071045-0.34556615352630615j)
325,(0.6162364482879639-0.3390749990940094j)
326,(0.6180183291435242-0.3413299322128296j)
327,(0.6147469878196716-0.34411975741386414j)
328,(0.6160309910774231-0.34333908557891846j)
329,(0.614345371723175-0.34157875180244446j)
330,(0.6127540469169617-0.34517547488212585j)
331,(0.6161357164382935-0.344110906124115j)
332,(0.6162621378898621-0.3420628607273102j)
333,(0.6141375303268433-0.34294453263282776j)
334,(0.6163867115974426-0.34004783630371094j)
335,(0.6146520972251892-0.3431641161441803j)
336,(0.613312840461731-0.3430366814136505j)
337,(0.6135651469230652-0.34054648876190186j)
338,(0.6099585890769958-0.34476691484451294j)
339,(0.6118065118789673-0.3397572934627533j)
340,(0.613182008266449-0.3399629294872284j)
341,(0.6147097945213318-0.3434689939022064j)
342,(0.6131009459495544-0.3426133096218109j)
343,(0.6154318451881409-0.34105384349823j)
344,(0.610414981842041-0.33999285101890564j)
345,(0.6090458631515503-0.34213003516197205j)
346,(0.6121528148651123-0.344889372587204j)
347,(0.610912561416626-0.34231504797935486j)
348,(0.6134039759635925-0.339412659406662j)
349,(0.6144139170646667-0.3404551148414612j)
350,(0.6123840808868408-0.343845009803772j)
351,(0.6153295040130615-0.3424322307109833j)
352,(0.609288215637207-0.34350812435150146j)
353,(0.6096771359443665-0.3381914496421814j)
354,(0.6144394278526306-0.3413534164428711j)
355,(0.6109904050827026-0.3382483124732971j)
356,(0.6113434433937073-0.34070929884910583j)
357,(0.6111701130867004-0.33748123049736023j)
358,(0.6086337566375732-0.339459627866745j)
359,(0.6095598340034485-0.34295037388801575j)
360,(0.6119626760482788-0.3376412093639374j)
361,(0.6127257347106934-0.34181368350982666j)
362,(0.6140779852867126-0.3381394147872925j)
363,(0.6092315316200256-0.3397328555583954j)
364,(0.6068223714828491-0.3399568200111389j)
365,(0.6127365827560425-0.33865630626678467j)
366,(0.6087695360183716-0.3364941477775574j)
367,(0.6103790402412415-0.338081032037735j)
368,(0.6107138991355896-0.33854544162750244j)
369,(0.6061246991157532-0.33571839332580566j)
370,(0.6108781099319458-0.33662253618240356j)
371,(0.6100596189498901-0.33942586183547974j)
372,(0.6134479641914368-0.33792468905448914j)
373,(0.6096320748329163-0.336684912443161j)
374,(0.611693799495697-0.3384738266468048j)
375,(0.6124768257141113-0.33317846059799194j)
376,(0.6066166758537292-0.3348240256309509j)
377,(0.6089115142822266-0.33725741505622864j)
378,(0.60993492603302-0.3392198085784912j)
379,(0.6110508441925049-0.33677172660827637j)
380,(0.6097397804260254-0.33623361587524414j)
381,(0.6073744893074036-0.3342107832431793j)
382,(0.6093010902404785-0.33322376012802124j)
383,(0.6094580888748169-0.3335864245891571j)
384,(0.6053034067153931-0.3385094404220581j)
385,(0.6102718710899353-0.3337428867816925j)
386,(0.6105898022651672-0.33165228366851807j)
387,(0.6066461205482483-0.3341432511806488j)
388,(0.6067847013473511-0.3328562378883362j)
389,(0.6046176552772522-0.3320266902446747j)
390,(0.6092107892036438-0.33481842279434204j)
391,(0.6075401306152344-0.33208614587783813j)
392,(0.6089510321617126-0.33183130621910095j)
393,(0.6071630120277405-0.3296939432621002j)
394,(0.6106868386268616-0.33671796321868896j)
395,(0.6090120077133179-0.3338184952735901j)
396,(0.60932856798172-0.3330984115600586j)
397,(0.6068053245544434-0.334212988615036j)
398,(0.6085116267204285-0.333778440952301j)
399,(0.6057170629501343-0.334562748670578j)
400,(0.6065327525138855-0.33218368887901306j)
